weight_name,weights,threshold,f1_score,precision,recall
LGB+XGB,"[0.45, 0.45, 0.1]",0.4500000000000002,0.8868360277136259,0.8571428571428571,0.9186602870813397
LGB+XGB,"[0.45, 0.45, 0.1]",0.44000000000000017,0.8868360277136259,0.8571428571428571,0.9186602870813397
LGB-Heavy,"[0.6, 0.25, 0.15]",0.42000000000000015,0.8868360277136259,0.8571428571428571,0.9186602870813397
LGB-Heavy,"[0.6, 0.25, 0.15]",0.43000000000000016,0.8868360277136259,0.8571428571428571,0.9186602870813397
LGB-Heavy,"[0.6, 0.25, 0.15]",0.44000000000000017,0.8868360277136259,0.8571428571428571,0.9186602870813397
LGB-Heavy,"[0.6, 0.25, 0.15]",0.4500000000000002,0.8868360277136259,0.8571428571428571,0.9186602870813397
LGB+Cat,"[0.5, 0.15, 0.35]",0.4500000000000002,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Focused,"[0.5, 0.3, 0.2]",0.3900000000000001,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Focused,"[0.5, 0.3, 0.2]",0.44000000000000017,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Focused,"[0.5, 0.3, 0.2]",0.43000000000000016,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Focused,"[0.5, 0.3, 0.2]",0.42000000000000015,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Focused,"[0.5, 0.3, 0.2]",0.41000000000000014,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Focused,"[0.5, 0.3, 0.2]",0.3600000000000001,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Focused,"[0.5, 0.3, 0.2]",0.3800000000000001,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Focused,"[0.5, 0.3, 0.2]",0.3700000000000001,0.8847926267281107,0.8533333333333334,0.9186602870813397
Balanced-Trio,"[0.4, 0.35, 0.25]",0.40000000000000013,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Heavy,"[0.6, 0.25, 0.15]",0.41000000000000014,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Focused,"[0.5, 0.3, 0.2]",0.4500000000000002,0.8847926267281107,0.8533333333333334,0.9186602870813397
Balanced-Trio,"[0.4, 0.35, 0.25]",0.41000000000000014,0.8847926267281107,0.8533333333333334,0.9186602870813397
LGB-Heavy,"[0.6, 0.25, 0.15]",0.3900000000000001,0.8847926267281107,0.8533333333333334,0.9186602870813397
