model,test_f1,test_precision,test_recall,test_roc_auc,holdout_f1,holdout_precision,holdout_recall,holdout_roc_auc
LightGBM,0.9601769911504425,0.9774774774774775,0.9434782608695652,0.9925229784157803,0.96,0.9818181818181818,0.9391304347826087,0.9981484542899653
XGBoost,0.9578713968957872,0.9773755656108597,0.9391304347826087,0.9966497986161313,,,,
CatBoost,0.9419354838709677,0.9319148936170213,0.9521739130434783,0.9968129711866156,,,,
RandomForest,0.9016018306636155,0.9516908212560387,0.8565217391304348,0.9926902819374162,,,,
SoftVoting_Ensemble,0.9624724061810155,0.9775784753363229,0.9478260869565217,0.0,0.9688888888888889,0.990909090909091,0.9478260869565217,0.9970490990246321
Stacking_Ensemble,0.9624724061810155,0.9775784753363229,0.9478260869565217,0.9971868222658267,0.9642857142857143,0.9908256880733946,0.9391304347826087,0.9970573648536948
SoftVoting_Ensemble_PP,0.6065808297567954,0.4520255863539446,0.9217391304347826,0.9844407724878654,,,,
